#,number_of_header_lines:,72,,,,,,,,,,,,,,,,,,,,,,,,
#,comment:,,,,,,,,,,,,,,,,,,,,,,,,,
#,comment:,************,USE,OF,ESRL,GMD,DATA,****************,,,,,,,,,,,,,,,,,,
#,comment:,,,,,,,,,,,,,,,,,,,,,,,,,
#,comment:,These,data,are,made,freely,available,to,the,public,and,the,,,,,,,,,,,,,,
#,comment:,scientific,community,in,the,belief,that,their,wide,dissemination,,,,,,,,,,,,,,,,
#,comment:,will,lead,to,greater,understanding,and,new,scientific,insights.,,,,,,,,,,,,,,,,
#,comment:,The,availability,of,these,data,does,not,constitute,publication,,,,,,,,,,,,,,,,
#,comment:,of,the,data.,NOAA,relies,on,the,ethics,and,integrity,of,the,user,to,,,,,,,,,,,
#,comment:,ensure,that,GML,receives,fair,credit,for,their,work.,If,the,data,,,,,,,,,,,,,
#,comment:,are,obtained,for,potential,use,in,a,publication,or,"presentation,",,,,,,,,,,,,,,,
#,comment:,GML,should,be,informed,at,the,outset,of,the,nature,of,this,work.,,,,,,,,,,,,
#,comment:,If,the,GML,data,are,essential,to,the,"work,",or,if,an,important,,,,,,,,,,,,
#,comment:,result,or,conclusion,depends,on,the,GML,"data,",co-authorship,,,,,,,,,,,,,,,,
#,comment:,may,be,appropriate.,This,should,be,discussed,at,an,early,stage,in,,,,,,,,,,,,,
#,comment:,the,work.,Manuscripts,using,the,GML,data,should,be,sent,to,GML,,,,,,,,,,,,,
#,comment:,for,review,before,they,are,submitted,for,publication,so,we,can,,,,,,,,,,,,,,
#,comment:,ensure,that,the,quality,and,limitations,of,the,data,are,accurately,,,,,,,,,,,,,,
#,comment:,represented.,,,,,,,,,,,,,,,,,,,,,,,,
#,comment:,,,,,,,,,,,,,,,,,,,,,,,,,
#,comment:,Every,effort,is,made,to,produce,the,most,accurate,and,precise,,,,,,,,,,,,,,
#,comment:,measurements,possible.,"However,",we,reserve,the,right,to,make,,,,,,,,,,,,,,,,
#,comment:,corrections,to,the,data,based,on,recalibration,of,standard,gases,,,,,,,,,,,,,,,
#,comment:,or,for,other,reasons,deemed,scientifically,justified.,,,,,,,,,,,,,,,,,,
#,comment:,,,,,,,,,,,,,,,,,,,,,,,,,
#,comment:,We,are,not,responsible,for,results,and,conclusions,based,on,use,,,,,,,,,,,,,,
#,comment:,of,these,data,without,regard,to,this,warning.,,,,,,,,,,,,,,,,,
#,comment:,,,,,,,,,,,,,,,,,,,,,,,,,
#,contact_parameter:,CO2,CCGG,(Individual,Flasks),,,,,,,,,,,,,,,,,,,,,
#,contact_name:,Ed,Dlugokencky,,,,,,,,,,,,,,,,,,,,,,,
#,contact_telephone:,-303,497-6228,,,,,,,,,,,,,,,,,,,,,,,
#,contact_email:,Ed.Dlugokencky@noaa.gov,,,,,,,,,,,,,,,,,,,,,,,,
#,comment:,,,,,,,,,,,,,,,,,,,,,,,,,
#,comment:,************,COLLABORATORS,***************,,,,,,,,,,,,,,,,,,,,,,
#,comment:,,,,,,,,,,,,,,,,,,,,,,,,,
#,comment:,NOAA,thanks,the,following,collaborators,without,,,,,,,,,,,,,,,,,,,
#,comment:,whom,these,measurements,would,not,be,possible.,,,,,,,,,,,,,,,,,,
#,comment:,,,,,,,,,,,,,,,,,,,,,,,,,
#,collaborator_name:,Weizmann,Institute,of,Science,and,Arava,Institute,,,,,,,,,,,,,,,,,,
#,collaborator_name:,for,Environmental,Studies,,,,,,,,,,,,,,,,,,,,,,
#,collaborator_comment:,Arava,Institute,for,Environmental,Studies,,,,,,,,,,,,,,,,,,,,
#,collaborator_comment:,Kibbutz,"Ketura,",8884000,,,,,,,,,,,,,,,,,,,,,,
#,collaborator_comment:,Israel,,,,,,,,,,,,,,,,,,,,,,,,
#,comment:,,,,,,,,,,,,,,,,,,,,,,,,,
#,comment:,************,RECIPROCITY,AGREEMENT,***************,,,,,,,,,,,,,,,,,,,,,
#,comment:,,,,,,,,,,,,,,,,,,,,,,,,,
#,comment:,Use,of,these,data,implies,an,agreement,to,reciprocate.,,,,,,,,,,,,,,,,
#,comment:,Laboratories,making,similar,measurements,agree,to,make,their,,,,,,,,,,,,,,,,,
#,comment:,own,data,available,to,the,general,public,and,to,the,scientific,,,,,,,,,,,,,,
#,comment:,community,in,an,equally,complete,and,easily,accessible,form.,,,,,,,,,,,,,,,,
#,comment:,Modelers,are,encouraged,to,make,available,to,the,"community,",,,,,,,,,,,,,,,,
#,comment:,upon,"request,",their,own,tools,used,in,the,interpretation,,,,,,,,,,,,,,,,
#,comment:,of,the,GML,"data,",namely,well,documented,model,"code,",transport,,,,,,,,,,,,,,,
#,comment:,"fields,",and,additional,information,necessary,for,other,,,,,,,,,,,,,,,,,,
#,comment:,scientists,to,repeat,the,work,and,to,run,modified,versions.,,,,,,,,,,,,,,,
#,comment:,Model,availability,includes,collaborative,support,for,new,,,,,,,,,,,,,,,,,,
#,comment:,users,of,the,models.,,,,,,,,,,,,,,,,,,,,,
#,comment:,,,,,,,,,,,,,,,,,,,,,,,,,
#,comment:,************,DATA,DESCRIPTION,***************,,,,,,,,,,,,,,,,,,,,,
#,comment:,,,,,,,,,,,,,,,,,,,,,,,,,
#,description_site-code:,wis,,,,,,,,,,,,,,,,,,,,,,,,
#,description_project-abbr:,ccg_surface,,,,,,,,,,,,,,,,,,,,,,,,
#,description_strategy-abbr:,flask,,,,,,,,,,,,,,,,,,,,,,,,
#,description_sample-constraints:,"me:-H~date:1900-01-01,2019-12-31",,,,,,,,,,,,,,,,,,,,,,,,
#,description_creation-time:,7/24/20,11:04:26,,,,,,,,,,,,,,,,,,,,,,,
#,comment:,,,,,,,,,,,,,,,,,,,,,,,,,
#,comment:,************,DATA,DOCUMENTATION,***************,,,,,,,,,,,,,,,,,,,,,
#,comment:,,,,,,,,,,,,,,,,,,,,,,,,,
#,comment:,Please,refer,to,the,species-specific,README,file,in,the,,,,,,,,,,,,,,,,
sample_site_code,sample_year,sample_month,sample_day,sample_hour,sample_minute,sample_seconds,sample_id,sample_method,parameter_formula,analysis_group_abbr,analysis_value,analysis_uncertainty,analysis_flag,analysis_instrument,analysis_year,analysis_month,analysis_day,analysis_hour,analysis_minute,analysis_seconds,sample_latitude,sample_longitude,sample_altitude,sample_elevation,sample_intake_height,event_number
WIS,1996,5,4,13,57,0,326-91,P,co2,CCGG,369.83,0.12,...,S1,1996,5,28,10,2,0,30.8595,34.7809,482,477,5,163432
WIS,1996,5,11,13,40,0,1161-91,P,co2,CCGG,365.37,0.12,...,S1,1996,5,28,10,36,0,30.8595,34.7809,482,477,5,163433
WIS,1996,5,11,13,40,0,1162-91,P,co2,CCGG,365.31,0.12,...,S1,1996,5,28,10,38,0,30.8595,34.7809,482,477,5,163434
WIS,1996,5,18,14,30,0,157-91,P,co2,CCGG,366.11,0.12,...,S1,1996,6,18,15,12,0,30.8595,34.7809,482,477,5,163435
WIS,1996,5,18,14,30,0,158-91,P,co2,CCGG,366.05,0.12,...,S1,1996,6,18,15,14,0,30.8595,34.7809,482,477,5,163436
WIS,1996,5,24,15,5,0,457-91,P,co2,CCGG,365.51,0.12,...,S1,1996,6,18,16,28,0,30.8595,34.7809,482,477,5,163437
WIS,1996,5,24,15,5,0,458-91,P,co2,CCGG,365.49,0.12,...,S1,1996,6,18,16,30,0,30.8595,34.7809,482,477,5,163438
WIS,1996,6,1,14,10,0,1049-91,P,co2,CCGG,366.43,0.12,...,S1,1996,6,28,9,52,0,30.8595,34.7809,482,477,5,163439
WIS,1996,6,1,14,10,0,1050-91,P,co2,CCGG,366.39,0.12,...,S1,1996,6,28,9,54,0,30.8595,34.7809,482,477,5,163440
WIS,1996,6,8,15,20,0,1153-91,P,co2,CCGG,361.87,0.12,...,S1,1996,6,28,9,12,0,30.8595,34.7809,482,477,5,163441
WIS,1996,6,8,15,20,0,1154-91,P,co2,CCGG,361.8,0.12,...,S1,1996,6,28,9,14,0,30.8595,34.7809,482,477,5,163442
WIS,1996,6,15,15,10,0,591-91,P,co2,CCGG,360.94,0.12,...,S1,1996,7,10,15,32,0,30.8595,34.7809,482,477,5,163443
WIS,1996,6,15,15,10,0,592-91,P,co2,CCGG,360.96,0.12,...,S1,1996,7,10,15,34,0,30.8595,34.7809,482,477,5,163444
WIS,1996,6,22,15,5,0,699-91,P,co2,CCGG,361.63,0.12,...,S1,1996,7,10,16,0,0,30.8595,34.7809,482,477,5,163445
WIS,1996,6,22,15,5,0,700-91,P,co2,CCGG,361.62,0.12,...,S1,1996,7,10,16,2,0,30.8595,34.7809,482,477,5,163446
WIS,1996,6,29,14,40,0,263-91,P,co2,CCGG,364.49,0.12,...,S1,1996,8,1,9,48,0,30.8595,34.7809,482,477,5,163447
WIS,1996,6,29,14,40,0,264-91,P,co2,CCGG,364.38,0.12,...,S1,1996,8,1,9,50,0,30.8595,34.7809,482,477,5,163448
WIS,1996,7,6,13,33,0,1237-91,P,co2,CCGG,361.38,0.12,...,S1,1996,8,1,8,52,0,30.8595,34.7809,482,477,5,163449
WIS,1996,7,6,13,33,0,1768-91,P,co2,CCGG,361.4,0.12,...,S1,1996,8,1,8,54,0,30.8595,34.7809,482,477,5,163450
WIS,1996,7,13,15,20,0,209-91,P,co2,CCGG,360.82,0.12,...,S1,1996,8,9,10,26,0,30.8595,34.7809,482,477,5,163452
WIS,1996,7,13,15,20,0,96-91,P,co2,CCGG,360.89,0.12,...,S1,1996,8,9,10,24,0,30.8595,34.7809,482,477,5,163451
WIS,1996,7,20,14,52,0,1296-91,P,co2,CCGG,359.42,0.12,...,S1,1996,8,9,8,14,0,30.8595,34.7809,482,477,5,163454
WIS,1996,7,20,14,52,0,179-91,P,co2,CCGG,359.41,0.12,...,S1,1996,8,9,8,12,0,30.8595,34.7809,482,477,5,163453
WIS,1996,7,26,14,23,0,71-91,P,co2,CCGG,357.34,0.12,...,S1,1996,8,16,10,4,0,30.8595,34.7809,482,477,5,163455
WIS,1996,7,26,14,23,0,72-91,P,co2,CCGG,357.34,0.12,...,S1,1996,8,16,10,6,0,30.8595,34.7809,482,477,5,163456
WIS,1996,8,2,15,40,0,191-91,P,co2,CCGG,360.36,0.12,...,S1,1996,8,16,10,0,0,30.8595,34.7809,482,477,5,163457
WIS,1996,8,2,15,40,0,192-91,P,co2,CCGG,360.32,0.12,...,S1,1996,8,16,10,2,0,30.8595,34.7809,482,477,5,163458
WIS,1996,8,9,14,45,0,643-91,P,co2,CCGG,360.03,0.12,...,S1,1996,9,10,10,20,0,30.8595,34.7809,482,477,5,163459
WIS,1996,8,9,14,45,0,644-91,P,co2,CCGG,360.06,0.12,...,S1,1996,9,10,10,22,0,30.8595,34.7809,482,477,5,163460
WIS,1996,8,16,14,50,0,1497-91,P,co2,CCGG,357.81,0.12,...,S1,1996,9,10,10,28,0,30.8595,34.7809,482,477,5,163461
WIS,1996,8,16,14,50,0,1498-91,P,co2,CCGG,357.73,0.12,...,S1,1996,9,10,10,30,0,30.8595,34.7809,482,477,5,163462
WIS,1996,8,24,15,0,0,1455-91,P,co2,CCGG,357.75,0.12,...,S1,1996,9,24,9,56,0,30.8595,34.7809,482,477,5,163463
WIS,1996,8,24,15,0,0,1456-91,P,co2,CCGG,357.8,0.12,...,S1,1996,9,24,9,58,0,30.8595,34.7809,482,477,5,163464
WIS,1996,8,31,14,10,0,1490-91,P,co2,CCGG,358.99,0.12,...,S1,1996,9,24,10,2,0,30.8595,34.7809,482,477,5,163465
WIS,1996,8,31,14,10,0,1755-91,P,co2,CCGG,358.95,0.12,...,S1,1996,9,24,10,0,0,30.8595,34.7809,482,477,5,163466
WIS,1996,9,7,15,10,0,513-91,P,co2,CCGG,361.43,0.12,...,S1,1996,10,2,15,44,0,30.8595,34.7809,482,477,5,163467
WIS,1996,9,7,15,10,0,514-91,P,co2,CCGG,361.4,0.12,...,S1,1996,10,2,15,46,0,30.8595,34.7809,482,477,5,163468
WIS,1996,9,14,14,20,0,1739-91,P,co2,CCGG,360.83,0.12,...,S1,1996,10,2,15,48,0,30.8595,34.7809,482,477,5,163469
WIS,1996,9,14,14,20,0,1740-91,P,co2,CCGG,360.87,0.12,...,S1,1996,10,2,15,50,0,30.8595,34.7809,482,477,5,163470
WIS,1996,9,21,14,40,0,193-91,P,co2,CCGG,359,0.12,...,S1,1996,10,22,15,9,0,30.8595,34.7809,482,477,5,163471
WIS,1996,9,21,14,40,0,194-91,P,co2,CCGG,358.98,0.12,...,S1,1996,10,22,15,10,0,30.8595,34.7809,482,477,5,163472
WIS,1996,9,28,15,30,0,1573-91,P,co2,CCGG,360.44,0.12,...,S1,1996,10,22,15,31,0,30.8595,34.7809,482,477,5,163473
WIS,1996,9,28,15,30,0,1574-91,P,co2,CCGG,360.39,0.12,...,S1,1996,10,22,15,32,0,30.8595,34.7809,482,477,5,163474
WIS,1996,10,5,13,55,0,177-91,P,co2,CCGG,361.72,0.12,...,S1,1996,11,1,16,4,0,30.8595,34.7809,482,477,5,163475
WIS,1996,10,12,15,20,0,1637-91,P,co2,CCGG,360.62,0.12,...,S1,1996,11,1,15,56,0,30.8595,34.7809,482,477,5,163476
WIS,1996,10,12,15,20,0,1638-91,P,co2,CCGG,360.57,0.12,...,S1,1996,11,1,15,58,0,30.8595,34.7809,482,477,5,163477
WIS,1996,10,19,14,50,0,175-91,P,co2,CCGG,362.07,0.12,...,S1,1996,11,15,10,31,0,30.8595,34.7809,482,477,5,163478
WIS,1996,10,19,14,50,0,176-91,P,co2,CCGG,361.97,0.12,...,S1,1996,11,15,10,32,0,30.8595,34.7809,482,477,5,163479
WIS,1996,10,26,13,0,0,185-91,P,co2,CCGG,367.21,0.12,...,S1,1996,11,15,11,0,0,30.8595,34.7809,482,477,5,163480
WIS,1996,10,26,13,0,0,186-91,P,co2,CCGG,367.18,0.12,...,S1,1996,11,15,11,1,0,30.8595,34.7809,482,477,5,163481
WIS,1996,11,2,14,10,0,345-91,P,co2,CCGG,367.59,0.12,...,S1,1996,12,5,16,11,0,30.8595,34.7809,482,477,5,163482
WIS,1996,11,2,14,10,0,346-91,P,co2,CCGG,367.56,0.12,...,S1,1996,12,5,16,12,0,30.8595,34.7809,482,477,5,163483
WIS,1996,11,9,15,30,0,1775-91,P,co2,CCGG,368.64,0.12,...,S1,1996,12,5,16,13,0,30.8595,34.7809,482,477,5,163484
WIS,1996,11,9,15,30,0,1776-91,P,co2,CCGG,368.51,0.12,...,S1,1996,12,5,16,14,0,30.8595,34.7809,482,477,5,163485
WIS,1996,11,17,15,8,0,1766-91,P,co2,CCGG,363.25,0.12,...,S1,1996,12,3,16,26,0,30.8595,34.7809,482,477,5,163487
WIS,1996,11,22,14,55,0,457-91,P,co2,CCGG,372.3,0.12,.X.,S1,1996,12,5,16,8,0,30.8595,34.7809,482,477,5,163488
WIS,1996,11,22,14,55,0,458-91,P,co2,CCGG,372.36,0.12,.X.,S1,1996,12,5,16,10,0,30.8595,34.7809,482,477,5,163489
WIS,1996,12,1,14,15,0,2047-91,P,co2,CCGG,362.71,0.07,...,S1,1997,1,9,14,44,0,30.8595,34.7809,482,477,5,163490
WIS,1996,12,1,14,15,0,2048-91,P,co2,CCGG,362.66,0.07,...,S1,1997,1,9,14,45,0,30.8595,34.7809,482,477,5,163491
